Year,Sex,Age,Value
18,2,11,25486.397464105892
18,2,12,34095.280165350174
18,2,13,44379.41494145348
18,2,14,56603.958420350864
19,0,0,599769.029757436
19,0,1,607774.8532559897
19,0,2,614364.5712722761
19,0,3,602656.3044645203
19,0,4,579547.0901735921
19,0,5,561030.5407453292
19,0,6,541281.8562069561
19,0,7,524803.44985789
19,0,8,497032.16665606195
19,0,9,469138.5194228992
19,0,10,426802.7134612482
19,0,11,379341.27640459145
19,0,12,339566.89954191877
19,0,13,313923.4096729129
19,0,14,308415.1013356594
19,1,0,618236.6172252476
19,1,1,626110.6786674205
19,1,2,632376.6288003832
19,1,3,619698.2147685676
19,1,4,588907.3659935548
19,1,5,570481.4697392243
19,1,6,549500.8637081465
19,1,7,531330.1046604852
19,1,8,501097.14705789305
19,1,9,473857.562324198
19,1,10,426377.13271156285
19,1,11,371124.80059203156
19,1,12,323212.27794923773
19,1,13,287733.3862331924
19,1,14,271533.72886080283
19,2,0,18.330433078983695
19,2,1,73.36249494277128
19,2,2,164.88816037558937
19,2,3,284.25842147383787
19,2,4,417.6283323066845
19,2,5,1331.3295441126984
19,2,6,3512.160144132381
19,2,7,6633.59743040643
19,2,8,10167.87862461326
19,2,9,14010.92098627639
19,2,10,19676.062163877887
19,2,11,27635.774110374663
19,2,12,36274.09477904615
19,2,13,45073.676728228435
19,2,14,55394.82753325817
20,0,0,578216.4020266755
20,0,1,598260.6809996724
20,0,2,611354.2660980531
20,0,3,618607.4351466737
20,0,4,606565.3042091104
20,0,5,581574.151241295
20,0,6,560396.578334298
20,0,7,538379.5233160222
20,0,8,519382.50572890486
20,0,9,490362.2900451741
20,0,10,461903.61336476804
20,0,11,421753.862393602
20,0,12,376367.08148159226
20,0,13,339090.62097399856
20,0,14,315887.67510786175
20,1,0,596051.5904637201
20,1,1,615879.3252907123
20,1,2,629470.12551648
20,1,3,636361.3108936531
20,1,4,623290.683560357
20,1,5,589743.5226785706
20,1,6,567538.495384163
20,1,7,543137.363874059
20,1,8,521864.8044825821
20,1,9,490123.771760756
20,1,10,459684.97659733414
20,1,11,410733.0000566891
20,1,12,356340.5362200072
20,1,13,310960.77346287464
20,1,14,278643.5181418404
20,2,0,18.240339067420575
20,2,1,74.08563570002494
20,2,2,167.51369766523874
20,2,3,296.71379551849435
20,2,4,448.1977355389032
20,2,5,1386.2087492320557
20,2,6,3656.024679075627
20,2,7,6850.779850977084
20,2,8,10683.708257283715
20,2,9,14553.969399216354
20,2,10,21160.67524922096
20,2,11,30320.91962253697
20,2,12,39475.623940354
20,2,13,48027.92511075071
20,2,14,56186.320627965215
21,0,0,573775.8815122439
21,0,1,571961.9693504825
21,0,2,596054.0076467812
21,0,3,609784.0460272811
21,0,4,617467.239500912
21,0,5,605683.8516806359
21,0,6,580807.5296738308
21,0,7,559671.23668786
21,0,8,537623.7285468037
21,0,9,518621.9593057801
21,0,10,489615.4227853032
21,0,11,461299.71447041293
21,0,12,421280.7842815846
21,0,13,376045.4269561006
21,0,14,338902.97141228354
21,1,0,591812.6211535227
21,1,1,588813.9381370125
21,1,2,613215.8737969139
21,1,3,627467.4347458044
21,1,4,634804.0092084759
21,1,5,621190.0837414226
21,1,6,586446.9555542973
21,1,7,563228.7957423253
21,1,8,538064.6900121806
21,1,9,516292.1354894314
21,1,10,481657.331718069
21,1,11,447247.852478035
21,1,12,396843.7480386102
21,1,13,342966.04346772993
21,1,14,299060.7334006331
21,2,0,18.80279083390793
21,2,1,73.40329945945474
21,2,2,168.49356763125522
21,2,3,300.65106106413265
21,2,4,467.21327609639314
21,2,5,1466.559014465296
21,2,6,3778.2331879419085
21,2,7,7116.746690623605
21,2,8,11065.61207916652
21,2,9,15405.080296564805
21,2,10,22193.111824616146
21,2,11,32898.72752048002
21,2,12,43635.832587338016
21,2,13,52415.47945647043
21,2,14,59615.971668151244
22,0,0,558987.6586388794
22,0,1,569293.7714167091
22,0,2,572686.4228830588
22,0,3,597648.9947615291
22,0,4,611647.500403219
22,0,5,618869.314949314
22,0,6,605349.2278596471
22,0,7,578052.9744517546
22,0,8,555586.0512575774
22,0,9,532782.855425527
22,0,10,514295.70383269736
22,0,11,486552.6273913236
22,0,12,460522.8309666933
22,0,13,422617.82428872475
22,0,14,379279.21343686
22,1,0,574560.2346529451
22,1,1,586390.3623671654
22,1,2,589292.2002904749
22,1,3,614617.1639150523
22,1,4,629097.6076890745
22,1,5,635019.0334775584
22,1,6,617889.0080140125
22,1,7,579292.2855145213
22,1,8,553520.1617812377
22,1,9,526799.7739105946
22,1,10,502131.487771796
22,1,11,464428.7094921117
22,1,12,429782.4901871175
22,1,13,381250.9356229941
22,1,14,330418.05837990425
22,2,0,18.561606522875863
22,2,1,74.70220583120867
22,2,2,165.98336034817993
22,2,3,301.9173398613448
22,2,4,473.80218244370894
22,2,5,1509.3703557593362
22,2,6,3981.563075922371
22,2,7,7312.627537934234
22,2,8,11389.15649629171
22,2,9,15764.705054431342
22,2,10,23241.96371472568
22,2,11,34263.97859402363
22,2,12,47246.15282179201
22,2,13,58045.84347610973
22,2,14,65396.34468555281
23,0,0,551573.848932454
23,0,1,555095.7660035299
23,0,2,570472.8902285903
23,0,3,574798.8768491508
23,0,4,599941.164544251
23,0,5,613359.5917846209
23,0,6,618566.5215423309
23,0,7,602287.5028274411
23,0,8,573488.4491194455
23,0,9,550165.6375909306
23,0,10,527941.9851423241
23,0,11,510868.4185958832
23,0,12,485700.98700246
23,0,13,462041.972649342
23,0,14,426266.3797105652
23,1,0,567354.3364689335
23,1,1,569800.8224174749
23,1,2,587344.3670663083
23,1,3,591254.6309903568
